,ADD_LIKE_BINARY_1,ADD_LIKE_BINARY_2,ADD_LIKE_BINARY_3,ADD_LIKE_BINARY_4,ADD_LIKE_BINARY_5,ADD_LIKE_BINARY_6,AGE,LIVING,STATE,GENDER
90,2.0,2.0,2.0,1.0,1.0,2.0,21,3,4,1
91,1.0,1.0,1.0,1.0,1.0,1.0,39,3,32,1
92,2.0,2.0,2.0,2.0,2.0,2.0,39,1,38,2
93,1.0,2.0,2.0,1.0,1.0,1.0,20,3,42,1
94,1.0,1.0,1.0,1.0,1.0,1.0,32,3,21,2
95,1.0,1.0,1.0,1.0,1.0,1.0,42,3,4,1
96,2.0,1.0,1.0,2.0,1.0,2.0,19,3,20,1
97,1.0,1.0,1.0,1.0,1.0,1.0,20,3,10,2
98,1.0,1.0,1.0,1.0,1.0,1.0,19,2,35,2
99,1.0,2.0,2.0,2.0,2.0,2.0,18,3,4,1
100,1.0,1.0,1.0,1.0,1.0,1.0,20,1,5,2
101,1.0,1.0,2.0,1.0,1.0,1.0,18,4,44,2
102,1.0,1.0,2.0,1.0,1.0,1.0,26,3,49,1
103,1.0,1.0,2.0,1.0,1.0,1.0,54,3,21,1
104,2.0,1.0,1.0,2.0,1.0,2.0,22,1,49,1
105,2.0,2.0,2.0,2.0,2.0,2.0,40,2,34,2
106,1.0,1.0,1.0,1.0,1.0,1.0,22,2,10,1
107,1.0,1.0,1.0,1.0,1.0,1.0,18,1,32,1
108,1.0,1.0,2.0,1.0,1.0,1.0,20,4,11,1
109,1.0,2.0,1.0,2.0,2.0,1.0,20,3,32,2
110,2.0,2.0,1.0,1.0,1.0,2.0,26,2,4,1
111,1.0,1.0,1.0,1.0,1.0,1.0,34,3,4,1
112,1.0,1.0,1.0,1.0,1.0,1.0,27,2,15,2
113,1.0,1.0,1.0,1.0,1.0,1.0,20,2,38,1
114,1.0,1.0,1.0,1.0,1.0,1.0,26,3,14,1
115,1.0,1.0,2.0,1.0,1.0,1.0,37,2,40,1
116,1.0,1.0,1.0,1.0,1.0,1.0,46,3,32,1
117,2.0,2.0,1.0,1.0,1.0,1.0,18,2,30,1
118,1.0,2.0,2.0,1.0,2.0,1.0,21,2,33,1
119,2.0,2.0,2.0,1.0,2.0,2.0,32,2,4,1
120,1.0,1.0,2.0,1.0,1.0,1.0,19,4,4,2
121,1.0,1.0,2.0,1.0,1.0,1.0,54,1,0,2
122,1.0,1.0,2.0,1.0,1.0,1.0,54,2,36,2
123,2.0,1.0,2.0,2.0,1.0,1.0,24,1,10,2
124,1.0,1.0,2.0,1.0,2.0,2.0,18,3,4,2
125,1.0,2.0,2.0,1.0,1.0,2.0,26,3,4,2
126,1.0,1.0,2.0,1.0,1.0,1.0,36,2,25,1
127,2.0,2.0,2.0,1.0,1.0,1.0,18,2,4,1
128,1.0,2.0,1.0,1.0,2.0,1.0,23,2,2,1
129,2.0,1.0,1.0,2.0,1.0,2.0,27,1,22,1
130,2.0,1.0,2.0,1.0,1.0,2.0,27,1,25,1
131,1.0,1.0,1.0,1.0,1.0,1.0,18,2,4,1
132,1.0,1.0,1.0,1.0,1.0,1.0,18,2,4,1
133,1.0,1.0,2.0,1.0,1.0,1.0,18,4,5,1
134,2.0,1.0,1.0,1.0,2.0,1.0,21,3,32,1
135,2.0,1.0,2.0,1.0,2.0,1.0,36,2,43,1
136,1.0,1.0,1.0,1.0,1.0,1.0,20,3,46,2
137,1.0,1.0,1.0,1.0,1.0,2.0,47,2,4,1
138,1.0,1.0,2.0,1.0,1.0,2.0,55,2,40,2
139,2.0,1.0,2.0,2.0,1.0,1.0,20,2,32,1
140,1.0,1.0,1.0,1.0,1.0,1.0,46,2,46,2
141,1.0,2.0,2.0,1.0,1.0,1.0,27,3,30,2
142,1.0,1.0,1.0,1.0,1.0,1.0,22,3,23,2
143,1.0,1.0,1.0,1.0,1.0,1.0,24,2,43,2
144,1.0,1.0,1.0,1.0,1.0,1.0,55,2,25,1
145,2.0,2.0,2.0,2.0,2.0,2.0,55,2,46,2
146,1.0,1.0,2.0,1.0,1.0,1.0,47,1,9,1
147,1.0,1.0,1.0,1.0,1.0,1.0,30,1,38,2
148,2.0,1.0,1.0,1.0,2.0,1.0,30,3,4,1
149,1.0,1.0,2.0,1.0,1.0,1.0,29,2,4,2
150,1.0,1.0,2.0,1.0,1.0,1.0,54,1,32,2
151,1.0,1.0,1.0,1.0,1.0,1.0,21,3,43,1
152,2.0,2.0,2.0,2.0,2.0,2.0,32,3,34,1
153,1.0,1.0,2.0,1.0,1.0,1.0,38,2,16,1
154,1.0,1.0,1.0,1.0,1.0,1.0,48,3,32,1
155,2.0,2.0,2.0,2.0,2.0,2.0,25,3,22,1
156,2.0,2.0,2.0,2.0,2.0,2.0,31,1,10,1
157,2.0,2.0,2.0,2.0,2.0,2.0,42,1,9,2
158,1.0,2.0,1.0,1.0,1.0,1.0,40,2,13,2
159,1.0,1.0,1.0,1.0,1.0,1.0,23,2,43,2
160,1.0,2.0,1.0,1.0,1.0,1.0,30,3,35,2
161,2.0,2.0,2.0,1.0,1.0,1.0,33,2,43,1
162,2.0,2.0,2.0,2.0,1.0,2.0,20,1,15,1
163,2.0,1.0,2.0,1.0,2.0,1.0,18,3,33,2
164,1.0,1.0,2.0,1.0,1.0,1.0,22,2,10,2
165,1.0,1.0,2.0,1.0,1.0,1.0,36,2,5,1
166,1.0,1.0,1.0,1.0,1.0,1.0,20,3,30,1
167,2.0,1.0,2.0,1.0,2.0,1.0,23,2,46,1
